index,PWM,kmers,onehot
308,0.605778,1.0815252,5.7779186
309,0.7128355,1.1024227,6.1318489
310,0.6556942,1.1150014,5.9884091
311,0.5424489,1.1793954,5.9327091
312,0.6332261,1.2021818,6.0277202
313,0.6277141,1.140151,6.0529693
314,0.6034521,1.2545743,8.2625908
315,0.798625,1.3309074,6.3120923
316,0.7588377,1.1246291,6.2124772
317,0.6449946,1.1094939,6.3119175
318,0.8486306,1.0814638,6.5702381
319,0.8331931,1.079517,6.6230534
320,0.5854373,1.1716904,6.5356251
321,0.5770818,1.1203967,6.5785012
322,0.6188669,1.1419349,6.4904089
323,0.6497029,1.1515258,6.5980726
324,0.6006672,1.1804321,6.6916704
325,0.5605469,1.117244,6.6709594
326,0.6847456,1.1468847,6.7295104
327,0.8268427,1.1851077,6.7563307
328,0.8060845,1.1488577,7.0282953
329,0.6962258,1.1505111,7.1024492
330,0.6930083,1.1841974,6.8152783
331,0.6032864,1.1553887,7.2497169
332,0.5670625,1.1424147,8.6111643
333,0.5579118,1.1995177,7.1827643
334,0.6025558,1.1496378,7.0885967
335,0.5851268,1.1591992,6.9118667
336,0.5667098,1.1796345,7.0271284
337,0.5537115,1.1752784,7.3529713
338,0.5632138,1.2363604,7.4424881
339,0.5615961,1.1786191,7.1773415
340,0.5525741,1.192625,7.0775724
341,0.5583888,1.185487,6.8799994
342,0.5524866,1.1854477,7.3305712
343,0.6457076,1.1527504,7.331701
344,0.6517193,1.2110321,7.2879197
345,1.4810205,1.1113347,7.4856597
346,1.4474961,1.208025,7.0922409
347,0.8469938,1.2064437,7.1832618
348,0.7142869,1.2058297,9.3327109
349,1.0682489,1.2314967,7.3314379
350,0.7029282,1.2084958,7.4880743
351,0.5847208,1.2495523,7.3712055
352,0.5899215,1.2023305,7.3279462
353,0.5972606,1.2494956,7.2707732
354,0.5742103,1.1429041,7.5725536
355,0.6088835,1.2090923,7.6040982
356,0.6224782,1.2119909,7.5486907
357,0.6566126,1.1905955,7.6893573
358,0.6623419,1.1706759,7.7581568
359,0.5958886,1.3094156,7.6411359
360,0.6036935,1.2096469,7.3459511
361,0.6225873,1.2818563,7.3086666
362,0.5995089,1.2346888,7.5983978
363,0.5791586,1.2148696,7.3363726
364,0.577493,1.1971833,9.818668
365,0.6067675,1.2270314,7.5454822
366,0.6181388,1.2130046,7.6629616
367,0.6276677,1.1901351,7.5528664
368,0.6102001,1.2236287,7.685637
369,0.6280327,1.2109534,7.649667
370,0.6554559,1.2123766,7.9071563
371,0.6787457,1.2324133,7.922265
372,0.6663715,1.2667021,7.8287206
373,0.7841886,1.2407432,7.8071948
374,0.6432112,1.2167075,7.8919896
375,0.7764836,1.2539941,7.8560137
376,0.7047507,1.1506887,7.8583445
377,0.6817002,1.1767957,7.7612326
378,0.6715803,1.1853394,8.1080137
379,0.6673927,1.3082893,10.0450342
380,0.6661782,1.2584682,8.1114555
381,0.6827782,1.3185616,8.0313682
382,0.740298,1.3100106,7.8711272
383,0.6801361,1.2843781,7.593655
384,0.6138257,1.3215185,8.2010217
385,0.6192241,1.2898668,7.7323976
386,0.6180554,1.2574465,7.9538699
387,0.684999,1.298496,7.9373083
388,0.6138338,1.2914178,7.9631762
389,0.6080905,1.3660306,8.0720666
390,0.6171067,1.4131746,7.7674595
391,0.6261087,1.2312775,8.1375952
392,0.6456809,1.2362632,7.9510195
393,0.6406716,1.2795783,8.180493
394,0.6768916,1.2415228,9.5580783
395,0.7021172,1.2687662,8.0215538
396,0.6912469,1.2804348,8.0701651
397,0.7152497,1.2891136,8.1409352
398,0.8155089,1.3547321,8.1774789
399,0.8636363,1.2633514,8.1166341
400,0.7077584,1.2506118,8.2424013
401,0.9406205,1.2680432,8.2035679
402,1.0568024,1.3045517,8.1644062
403,0.8757406,1.4503482,8.029338
404,0.8144334,1.2796817,8.3076353
405,0.8473848,1.3136235,8.0567766
406,0.7566117,1.3007514,8.3429332
