ind,Pearson,PvalPearson,Spearman,PvalSpearman,pearson > 0.3,pearson < -0.3,spearman > 0.3,spearman < -0.3
8455,0.018739418,0.1624528,0.0195582,0.1448634,0,0,0,0
8456,0.236915615,0,0.2476714,0,0,0,0,0
8457,-0.026605469,0.0473232,-0.0306205,0.0224397,0,0,0,0
8458,-0.037900238,0.0047145,-0.0342037,0.0107685,0,0,0,0
8459,-0.047605577,0.0003848,-0.0401253,0.002772,0,0,0,0
8460,-0.066484568,0.0000007,-0.0558527,0.000031,0,0,0,0
8461,-0.21891506,0,-0.1964023,0,0,0,0,0
8462,0.116562275,0,0.1221185,0,0,0,0,0
8463,0.061989569,0.0000037,0.0641553,0.0000017,0,0,0,0
8464,0.072089277,0.0000001,0.0775161,0,0,0,0,0
8465,-0.0169757,0.2057356,-0.0172742,0.197875,0,0,0,0
8466,-0.279134864,0,-0.2840223,0,0,0,0,0
8467,-0.030621234,0.0224365,-0.0308506,0.021448,0,0,0,0
8468,-0.012773921,0.341023,-0.0151315,0.2593647,0,0,0,0
8469,-0.025379257,0.0584972,-0.0209381,0.1185714,0,0,0,0
8470,-0.09972424,0,-0.0780444,0,0,0,0,0
8471,-0.02011468,0.1337689,-0.0166389,0.214875,0,0,0,0
8472,-0.046558309,0.0005164,-0.0485075,0.0002973,0,0,0,0
8473,-0.061343101,0.0000047,-0.0601186,0.0000073,0,0,0,0
8474,-0.121012173,0,-0.1057402,0,0,0,0,0
8475,0.002854975,0.8314856,-0.0055433,0.6794789,0,0,0,0
8476,-0.069184624,0.0000002,-0.0575134,0.0000178,0,0,0,0
8477,-0.000337261,0.979945,-0.011102,0.407945,0,0,0,0
8478,0.010335861,0.4410589,0.0103791,0.4391515,0,0,0,0
8479,-0.002129275,0.8739004,0.0021248,0.8741619,0,0,0,0
8480,-0.307895233,0,-0.3094989,0,0,1,0,1
8481,0.412678641,0,0.367549,0,1,0,1,0
